,concept,feature,prompt,response
0,monkey,appears_in_comics,"In one word Yes/No, is the feature related to the concept.
Concept: monkey\Feature: appears_in_comics.
 <mask>",Yes
1,monkey,breeds_rapidly,"In one word Yes/No, is the feature related to the concept.
Concept: monkey\Feature: breeds_rapidly.
 <mask>",No
2,monkey,builds_nests_at_high_altitude,"In one word Yes/No, is the feature related to the concept.
Concept: monkey\Feature: builds_nests_at_high_altitude.
 <mask>",No
3,beaver,appears_in_comics,"In one word Yes/No, is the feature related to the concept.
Concept: beaver\Feature: appears_in_comics.
 <mask>",Yes
4,beaver,breeds_rapidly,"In one word Yes/No, is the feature related to the concept.
Concept: beaver\Feature: breeds_rapidly.
 <mask>",No
5,beaver,builds_nests_at_high_altitude,"In one word Yes/No, is the feature related to the concept.
Concept: beaver\Feature: builds_nests_at_high_altitude.
 <mask>",No
6,bison,appears_in_comics,"In one word Yes/No, is the feature related to the concept.
Concept: bison\Feature: appears_in_comics.
 <mask>",No
7,bison,breeds_rapidly,"In one word Yes/No, is the feature related to the concept.
Concept: bison\Feature: breeds_rapidly.
 <mask>",No
8,bison,builds_nests_at_high_altitude,"In one word Yes/No, is the feature related to the concept.
Concept: bison\Feature: builds_nests_at_high_altitude.
 <mask>",No
9,can_opener,a_kind_of_thumbtack,"In one word Yes/No, is the feature related to the concept.
Concept: can_opener\Feature: a_kind_of_thumbtack.
 <mask>",No
10,can_opener,a_synonym_is_'schuiftrompet',"In one word Yes/No, is the feature related to the concept.
Concept: can_opener\Feature: a_synonym_is_'schuiftrompet'.
 <mask>",No
11,can_opener,accompagnies_(other)_music,"In one word Yes/No, is the feature related to the concept.
Concept: can_opener\Feature: accompagnies_(other)_music.
 <mask>",No
12,plate,a_kind_of_thumbtack,"In one word Yes/No, is the feature related to the concept.
Concept: plate\Feature: a_kind_of_thumbtack.
 <mask>",No
13,plate,a_synonym_is_'schuiftrompet',"In one word Yes/No, is the feature related to the concept.
Concept: plate\Feature: a_synonym_is_'schuiftrompet'.
 <mask>",No
14,plate,accompagnies_(other)_music,"In one word Yes/No, is the feature related to the concept.
Concept: plate\Feature: accompagnies_(other)_music.
 <mask>",No
15,toaster,a_kind_of_thumbtack,"In one word Yes/No, is the feature related to the concept.
Concept: toaster\Feature: a_kind_of_thumbtack.
 <mask>",No
16,toaster,a_synonym_is_'schuiftrompet',"In one word Yes/No, is the feature related to the concept.
Concept: toaster\Feature: a_synonym_is_'schuiftrompet'.
 <mask>",No
17,toaster,accompagnies_(other)_music,"In one word Yes/No, is the feature related to the concept.
Concept: toaster\Feature: accompagnies_(other)_music.
 <mask>",No
