,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
136,Adult,Accomplished,Drunk,,41,39,"Answer using only only word - ""Accomplished"" or ""Drunk"" and not ""Adult"".Which is more similar in meaning to ""Adult""?","

Accomplished",Accomplished
236,Conservative,Accomplished,Yoga,,44,39,"Answer using only only word - ""Accomplished"" or ""Yoga"" and not ""Conservative"".Which is more similar in meaning to ""Conservative""?","

Accomplished",Accomplished
345,Middle class,Accomplished,Sympathetic,,46,42,"Answer using only only word - ""Accomplished"" or ""Sympathetic"" and not ""Middle class"".Which is more similar in meaning to ""Middle class""?","

Accomplished",Accomplished
368,Homeless,Calm,Accomplished,,42,41,"Answer using only only word - ""Calm"" or ""Accomplished"" and not ""Homeless"".Which is more similar in meaning to ""Homeless""?","

Accomplished",Accomplished
383,Professor,Baby,Accomplished,,42,38,"Answer using only only word - ""Baby"" or ""Accomplished"" and not ""Professor"".Which is more similar in meaning to ""Professor""?","

Accomplished",Accomplished
443,Poor ,Accomplished,Middle class,,42,40,"Answer using only only word - ""Accomplished"" or ""Middle class"" and not ""Poor "".Which is more similar in meaning to ""Poor ""?","

Accomplished",Accomplished
484,Liberal,Accomplished,Winner,,42,38,"Answer using only only word - ""Accomplished"" or ""Winner"" and not ""Liberal"".Which is more similar in meaning to ""Liberal""?","

Accomplished",Accomplished
545,Confident,Accomplished,Liberal,,43,40,"Answer using only only word - ""Accomplished"" or ""Liberal"" and not ""Confident"".Which is more similar in meaning to ""Confident""?","

Accomplished",Accomplished
575,Homeowner,Accomplished,Jealous,,43,41,"Answer using only only word - ""Accomplished"" or ""Jealous"" and not ""Homeowner"".Which is more similar in meaning to ""Homeowner""?","

Accomplished",Accomplished
603,Logical,Accomplished,Wealthy,,42,42,"Answer using only only word - ""Accomplished"" or ""Wealthy"" and not ""Logical"".Which is more similar in meaning to ""Logical""?","

Accomplished",Accomplished
604,Lonely,Accomplished,Optimistic,,42,44,"Answer using only only word - ""Accomplished"" or ""Optimistic"" and not ""Lonely"".Which is more similar in meaning to ""Lonely""?","

Accomplished",Accomplished
662,Jealous,Accomplished,Asian,,42,40,"Answer using only only word - ""Accomplished"" or ""Asian"" and not ""Jealous"".Which is more similar in meaning to ""Jealous""?","

Accomplished",Accomplished
728,Baby,Accomplished,Optimistic,,41,40,"Answer using only only word - ""Accomplished"" or ""Optimistic"" and not ""Baby"".Which is more similar in meaning to ""Baby""?","

Accomplished",Accomplished
789,Queer,Accomplished,Vaccinated,,42,42,"Answer using only only word - ""Accomplished"" or ""Vaccinated"" and not ""Queer"".Which is more similar in meaning to ""Queer""?","

Accomplished",Accomplished
889,Citizen,Accomplished,Weak,,41,40,"Answer using only only word - ""Accomplished"" or ""Weak"" and not ""Citizen"".Which is more similar in meaning to ""Citizen""?","

Accomplished",Accomplished
973,Peaceful,Flight attendant,Accomplished,,45,41,"Answer using only only word - ""Flight attendant"" or ""Accomplished"" and not ""Peaceful"".Which is more similar in meaning to ""Peaceful""?","

Accomplished",Accomplished
984,Loser,Accomplished,Street-smart,,42,42,"Answer using only only word - ""Accomplished"" or ""Street-smart"" and not ""Loser"".Which is more similar in meaning to ""Loser""?","

Accomplished",Accomplished
1025,Cynical,Accomplished,Democrat,,42,43,"Answer using only only word - ""Accomplished"" or ""Democrat"" and not ""Cynical"".Which is more similar in meaning to ""Cynical""?","

Accomplished",Accomplished
1037,Cooking,Accomplished,Fascist,,42,41,"Answer using only only word - ""Accomplished"" or ""Fascist"" and not ""Cooking"".Which is more similar in meaning to ""Cooking""?","

Accomplished",Accomplished
1050,Winner,Accomplished,Angry,,41,39,"Answer using only only word - ""Accomplished"" or ""Angry"" and not ""Winner"".Which is more similar in meaning to ""Winner""?","

Accomplished",Accomplished
