,Concept,Feature,Yes/No,Category,prompt,gpt_response
0,Knife,have_catcher,0,tool,"In one word, Yes/No: Do knives have a catcher ?","

No"
1,Knife,have_body,0,tool,"In one word, Yes/No: Do knives have a body ?","

No"
2,Knife,have_chamfer,1,tool,"In one word, Yes/No: Do knives have a chamfer ?","

Yes"
3,Knife,have_claws,0,tool,"In one word, Yes/No: Do knives have claws ?","

No"
4,Knife,have_bristled_head,0,tool,"In one word, Yes/No: Do knives have a bristled head ?","

No"
5,Knife,have_bristles,0,tool,"In one word, Yes/No: Do knives have bristles ?","

No"
6,Knife,have_bumpy_skin,0,tool,"In one word, Yes/No: Do knives have a bumpy skin ?","

No"
7,Knife,have_circular_shape,0,tool,"In one word, Yes/No: Do knives have a circular shape ?","

No"
8,Knife,have_blunt_end,1,tool,"In one word, Yes/No: Do knives have a blades in deck ?","

Yes"
9,Knife,have_bodies,0,tool,"In one word, Yes/No: Do knives have bodies ?","

No"
10,Knife,have_covering,0,tool,"In one word, Yes/No: Do knives have a covering ?","

No"
11,Knife,have_compressed_body,0,tool,"In one word, Yes/No: Do knives have a compressed body ?","

No"
12,Knife,have_comfortable_handle,1,tool,"In one word, Yes/No: Do knives have a comfortable handle ?","

Yes"
13,Knife,have_cordless_operation,0,tool,"In one word, Yes/No: Do knives have a cordless operation ?","

No"
14,Knife,have_cutting_height_adjustment,1,tool,"In one word, Yes/No: Do knives have a cutting height adjustment ?","

Yes"
15,Knife,have_diameter,0,tool,"In one word, Yes/No: Do knives have a diameter ?","

No"
16,Knife,have_cylindrical_shape,0,tool,"In one word, Yes/No: Do knives have a cylindrical shape ?","

No"
17,Knife,have_curved_blade,1,tool,"In one word, Yes/No: Do knives have a curved blade ?","

Yes"
18,Knife,have_deck,0,tool,"In one word, Yes/No: Do knives have a deck ?","

No"
19,Knife,have_cylindrical_body,0,tool,"In one word, Yes/No: Do knives have a cylindrical body ?","

No"
20,Knife,have_cutting_edge,1,tool,"In one word, Yes/No: Do knives have a cutting edge ?","

Yes"
21,Knife,have_edge,1,tool,"In one word, Yes/No: Do knives have a edge ?","

Yes"
22,Knife,have_dustbin,0,tool,"In one word, Yes/No: Do knives have a dustbin ?","

No"
23,Knife,have_end,1,tool,"In one word, Yes/No: Do knives have a end ?","

Yes"
24,Knife,have_ears,0,tool,"In one word, Yes/No: Do knives have ears ?","

No"
25,Knife,have_durable_blade,1,tool,"In one word, Yes/No: Do knives have a durable blade ?","

Yes"
26,Knife,have_dry_skin,0,tool,"In one word, Yes/No: Do knives have a dry skin ?","

No"
27,Knife,have_disc,0,tool,"In one word, Yes/No: Do knives have a disc ?","

No"
28,Knife,have_different_heads,0,tool,"In one word, Yes/No: Do knives have different heads ?","

No"
29,Knife,have_different_tips,1,tool,"In one word, Yes/No: Do knives have different tips ?","

Yes"
30,Knife,have_different_attachments,1,tool,"In one word, Yes/No: Do knives have different attachments ?","

Yes"
31,Knife,have_eyes,0,tool,"In one word, Yes/No: Do knives have eyes ?","

No"
32,Knife,have_eyes_ears_nostrils_on_top_of_head,0,tool,"In one word, Yes/No: Do knives have a eyes ears nostrils on top of head ?","

No"
33,Knife,have_engine,0,tool,"In one word, Yes/No: Do knives have a engine ?","

No"
34,Knife,have_eye_lids,0,tool,"In one word, Yes/No: Do knives have eye lids ?","

No"
35,Knife,have_eyesight,0,tool,"In one word, Yes/No: Do knives have a eyesight ?","

No"
36,Knife,have_eyes_on_top_of_head,0,tool,"In one word, Yes/No: Do knives have a eyes on top of head ?","

No"
37,Knife,have_feet,0,tool,"In one word, Yes/No: Do knives have feet ?","

No"
38,Knife,have_filter,0,tool,"In one word, Yes/No: Do knives have a filter ?","

No"
39,Knife,have_flat_head,0,tool,"In one word, Yes/No: Do knives have a flat head ?","

No"
40,Knife,have_five_toes,0,tool,"In one word, Yes/No: Do knives have five toes ?","

No"
41,Knife,have_flaring_hood,0,tool,"In one word, Yes/No: Do knives have a flaring hood ?","

No"
42,Knife,have_fangs,0,tool,"In one word, Yes/No: Do knives have fangs ?","

No"
43,Knife,have_face,0,tool,"In one word, Yes/No: Do knives have a face ?","

No"
44,Knife,have_ferrule,1,tool,"In one word, Yes/No: Do knives have a ferrule ?","

Yes"
45,Knife,have_flat_surface,1,tool,"In one word, Yes/No: Do knives have a flat surface ?","

Yes"
46,Knife,have_forked_tongue,0,tool,"In one word, Yes/No: Do knives have a forked tongue ?","

No"
47,Knife,have_good_hearing,0,tool,"In one word, Yes/No: Do knives have a good hearing ?","

No"
48,Knife,have_good_eyesight,0,tool,"In one word, Yes/No: Do knives have a good eyesight ?","

No"
49,Knife,have_foot,0,tool,"In one word, Yes/No: Do knives have a foot ?","

No"
50,Knife,have_grinder,0,tool,"In one word, Yes/No: Do knives have a grinder ?","

No"
51,Knife,have_grit,0,tool,"In one word, Yes/No: Do knives have a grit ?","

No"
52,Knife,have_footrest,0,tool,"In one word, Yes/No: Do knives have a footrest ?","

No"
53,Knife,have_four_legs,0,tool,"In one word, Yes/No: Do knives have four legs ?","

No"
54,Knife,have_gasoline_engine,0,tool,"In one word, Yes/No: Do knives have a gasoline engine ?","

No"
55,Knife,have_glands,0,tool,"In one word, Yes/No: Do knives have glands ?","

No"
56,Knife,have_grass_catcher,0,tool,"In one word, Yes/No: Do knives have a grass catcher ?","

No"
57,Knife,have_grass_collection_bag,0,tool,"In one word, Yes/No: Do knives have a grass collection bag ?","

No"
58,Knife,have_hammer,0,tool,"In one word, Yes/No: Do knives have a hammer ?","

No"
59,Knife,have_handle_material,1,tool,"In one word, Yes/No: Do knives have a handle material ?","

Yes"
60,Knife,have_handle_on_the_other,1,tool,"In one word, Yes/No: Do knives have a handle on the other ?","

Yes"
61,Knife,have_handle_made_of_metal,1,tool,"In one word, Yes/No: Do knives have a handle made of metal ?","

Yes"
