,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
13,Saw,Alligator,Caiman,tool,39,40,"Answer using only only word - ""Alligator"" or ""Caiman"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Alligator",Alligator
64,Crocodile,Alligator,Screwdriver,reptile,43,45,"Answer using only only word - ""Alligator"" or ""Screwdriver"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Alligator",Alligator
65,Salamander,Alligator,Nail,reptile,42,42,"Answer using only only word - ""Alligator"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Alligator",Alligator
74,Chameleon,Alligator,Oil can,reptile,42,42,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Alligator",Alligator
96,Saw,Alligator,Toad,tool,39,40,"Answer using only only word - ""Alligator"" or ""Toad"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Alligator",Alligator
101,Chisel,Alligator,Lawn Mower,tool,42,42,"Answer using only only word - ""Alligator"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Alligator",Alligator
114,Crocodile,Alligator,Grinding disk,reptile,44,45,"Answer using only only word - ""Alligator"" or ""Grinding disk"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Alligator",Alligator
122,Salamander,Alligator,Blindworm,reptile,43,43,"Answer using only only word - ""Alligator"" or ""Blindworm"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Alligator.",Alligator
159,Axe,Alligator,Oil can,tool,39,40,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Alligator",Alligator
168,Oil can,Alligator,Paint brush,tool,42,41,"Answer using only only word - ""Alligator"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Alligator",Alligator
